X	Y
355	-15510035.000
356	-15509361.000
357	-15513075.000
358	-15519404.000
359	-15529036.000
360	-15525461.000
361	-15509089.000
362	-15502424.000
363	-15505538.000
364	-15508494.000
365	-15515947.000
366	-15515697.000
367	-15511890.000
368	-15509698.000
369	-15507754.000
370	-15508957.000
371	-15509758.000
372	-15513770.000
373	-15520405.000
374	-15523028.000
375	-15522135.000
376	-15520704.000
377	-15514595.000
378	-15509517.000
379	-15504270.000
380	-15500416.000
381	-15502009.000
382	-15503399.000
383	-15504959.000
384	-15511215.000
385	-15522373.000
386	-15525423.000
387	-15519698.000
388	-15517934.000
389	-15516367.000
390	-15511991.000
391	-15503270.000
392	-15504896.000
393	-15515738.000
394	-15517058.000
395	-15508607.000
396	-15507932.000
397	-15511842.000
398	-15514897.000
399	-15519696.000
400	-15521611.000
401	-15522629.000
402	-15522967.000
403	-15525458.000
404	-15522622.000
405	-15509927.000
406	-15506823.000
407	-15514904.000
408	-15521783.000
409	-15529257.000
410	-15528262.000
411	-15516971.000
412	-15511895.000
413	-15515909.000
414	-15514202.000
415	-15508279.000
416	-15510610.000
417	-15521791.000
418	-15523150.000
419	-15515889.000
420	-15515207.000
421	-15523917.000
422	-15524887.000
423	-15516423.000
424	-15513520.000
425	-15516949.000
426	-15519990.000
427	-15523504.000
428	-15525499.000
429	-15528896.000
430	-15530506.000
431	-15527741.000
432	-15524115.000
433	-15521061.000
434	-15521018.000
435	-15525018.000
436	-15521887.000
437	-15513122.000
438	-15509815.000
439	-15513804.000
440	-15515751.000
441	-15520029.000
442	-15516284.000
443	-15508801.000
444	-15509918.000
445	-15520467.000
446	-15530185.000
447	-15537970.000
448	-15534021.000
449	-15519327.000
450	-15512017.000
451	-15514430.000
452	-15516508.000
453	-15519507.000
454	-15520848.000
455	-15520721.000
456	-15519535.000
457	-15518558.000
458	-15517242.000
459	-15514331.000
460	-15515522.000
461	-15516981.000
462	-15515491.000
463	-15510727.000
464	-15510702.000
465	-15518160.000
466	-15526631.000
467	-15536212.000
468	-15533113.000
469	-15516735.000
470	-15509532.000
471	-15511500.000
472	-15515711.000
473	-15522851.000
474	-15523712.000
475	-15518408.000
476	-15517585.000
477	-15521335.000
478	-15522885.000
479	-15524921.000
480	-15523115.000
481	-15519763.000
482	-15518740.000
483	-15523798.000
484	-15526832.000
485	-15522987.000
486	-15520705.000
487	-15516718.000
488	-15514906.000
489	-15515516.000
490	-15514277.000
491	-15508682.000
492	-15509271.000
493	-15517010.000
494	-15520444.000
495	-15520110.000
496	-15518626.000
497	-15512658.000
498	-15514579.000
499	-15525292.000
500	-15521234.000
501	-15502894.000
502	-15502588.000
503	-15522978.000
504	-15527704.000
505	-15519363.000
506	-15516234.000
507	-15518647.000
508	-15516896.000
509	-15510901.000
510	-15509147.000
511	-15511690.000
512	-15512517.000
513	-15515388.000
514	-15518311.000
515	-15515901.000
516	-15518003.000
517	-15526286.000
518	-15526582.000
519	-15521033.000
520	-15520456.000
521	-15522233.000
522	-15523059.000
523	-15521250.000
524	-15517907.000
525	-15516608.000
526	-15515344.000
527	-15515773.000
528	-15515917.000
529	-15518416.000
530	-15517523.000
531	-15513595.000
532	-15514786.000
533	-15519208.000
534	-15519651.000
535	-15518987.000
