x,intensity
0,-10840679.000
1,-10785125.000
2,-10763558.000
3,-10773926.000
4,-10779044.000
5,-10778725.000
6,-10771816.000
7,-10760039.000
8,-10762022.000
9,-10778662.000
10,-10779752.000
11,-10761769.000
12,-10742440.000
13,-10717349.000
14,-10695337.000
15,-10678634.000
16,-10680488.000
17,-10698920.000
18,-10714280.000
19,-10722281.000
20,-10708904.000
21,-10674149.000
22,-10647655.000
23,-10630505.000
24,-10616297.000
25,-10603814.000
26,-10589730.000
27,-10573863.000
28,-10561381.000
29,-10546658.000
30,-10525802.000
31,-10501802.000
32,-10483178.000
33,-10466666.000
34,-10433257.000
35,-10380072.000
36,-10339179.000
37,-10310250.000
38,-10282154.000
39,-10253994.000
40,-10216426.000
41,-10168105.000
42,-10130985.000
43,-10109226.000
44,-10067754.000
45,-10009898.000
46,-9961578.000
47,-9924586.000
48,-9884778.000
49,-9842985.000
50,-9790954.000
51,-9729322.000
52,-9671083.000
53,-9622699.000
54,-9580842.000
55,-9549354.000
56,-9510122.000
57,-9460842.000
58,-9419498.000
59,-9387178.000
60,-9356330.000
61,-9329515.000
62,-9308267.000
63,-9294059.000
64,-9270443.000
65,-9237099.000
66,-9236843.000
67,-9268331.000
68,-9277995.000
69,-9263083.000
70,-9274539.000
71,-9313835.000
72,-9336939.000
73,-9342891.000
74,-9377003.000
75,-9443435.000
76,-9502763.000
77,-9551659.000
78,-9615723.000
79,-9698923.000
80,-9755947.000
81,-9787179.000
82,-9820331.000
83,-9854315.000
84,-9884971.000
85,-9913451.000
86,-9942699.000
87,-9972139.000
88,-9994795.000
89,-10012459.000
90,-10014571.000
91,-9997868.000
92,-9978796.000
93,-9957228.000
94,-9928492.000
95,-9891436.000
96,-9858348.000
97,-9829164.000
98,-9808236.000
99,-9793964.000
100,-9734444.000
101,-9629932.000
102,-9549996.000
103,-9492140.000
104,-9430444.000
105,-9366188.000
106,-9316204.000
107,-9283820.000
108,-9228396.000
109,-9151212.000
110,-9078700.000
111,-9001516.000
112,-8940396.000
113,-8885484.000
114,-8828076.000
115,-8766060.000
116,-8697452.000
117,-8620780.000
118,-8564396.000
119,-8530092.000
120,-8472108.000
121,-8398572.000
122,-8362157.000
123,-8366573.000
124,-8368237.000
125,-8369836.500
126,-8361260.500
127,-8341740.500
128,-8352556.500
129,-8391469.000
130,-8434476.000
131,-8486124.000
132,-8530476.000
133,-8568621.000
134,-8635629.000
135,-8739309.000
136,-8841452.000
137,-8941356.000
138,-9010988.000
139,-9048493.000
140,-9124141.000
141,-9241581.000
142,-9337645.000
143,-9410925.000
144,-9463149.000
145,-9497133.000
146,-9533037.000
147,-9572717.000
148,-9615213.000
149,-9657453.000
150,-9677100.000
151,-9672109.000
152,-9673005.000
153,-9680429.000
154,-9662765.000
155,-9619373.000
156,-9593901.000
157,-9582829.000
158,-9540973.000
159,-9467565.000
160,-9419501.000
161,-9398253.000
162,-9358765.000
163,-9308013.000
164,-9268077.000
165,-9238893.000
166,-9195373.000
167,-9134957.000
168,-9064877.000
169,-8990317.000
170,-8941869.000
171,-8920877.000
172,-8885102.000
173,-8836526.000
174,-8782446.000
175,-8722542.000
176,-8676398.000
177,-8642414.000
178,-8627438.000
179,-8634414.000
180,-8625518.000
181,-8595502.000
182,-8615534.000
183,-8684590.000
184,-8718638.000
185,-8714606.000
186,-8742830.000
187,-8796846.000
188,-8850734.000
189,-8904174.000
190,-8981550.000
191,-9084974.000
192,-9182510.000
193,-9275246.000
194,-9346606.000
195,-9394030.000
196,-9466350.000
197,-9559342.000
198,-9629614.000
199,-9677567.000
200,-9721344.000
201,-9764078.000
202,-9815470.000
203,-9874414.000
204,-9925230.000
205,-9968430.000
206,-10006126.000
207,-10035630.000
208,-10055278.000
209,-10064430.000
210,-10071534.000
211,-10075694.000
212,-10089198.000
213,-10107694.000
214,-10148846.000
215,-10208238.000
216,-10236590.000
217,-10236142.000
218,-10238062.000
219,-10238062.000
220,-10239661.000
221,-10244139.000
222,-10266158.000
223,-10303406.000
224,-10329582.000
225,-10340590.000
226,-10364846.000
227,-10401518.000
228,-10424878.000
229,-10435374.000
230,-10432750.000
231,-10412718.000
232,-10402223.000
233,-10406830.000
234,-10418670.000
235,-10441774.000
236,-10449199.000
237,-10440815.000
238,-10437039.000
239,-10437743.000
240,-10438446.000
241,-10438383.000
242,-10449327.000
243,-10471854.000
244,-10472239.000
245,-10450863.000
246,-10448879.000
247,-10465007.000
248,-10480046.000
249,-10494894.000
250,-10497646.000
251,-10490543.000
252,-10477934.000
253,-10459374.000
254,-10452719.000
255,-10461999.000
256,-10462319.000
257,-10457583.000
258,-10453743.000
259,-10453679.000
260,-10450543.000
261,-10448559.000
262,-10441839.000
263,-10431854.000
264,-10417967.000
265,-10405231.000
266,-10415279.000
267,-10448047.000
268,-10453999.000
269,-10434991.000
270,-10420719.000
271,-10408559.000
272,-10405679.000
273,-10413487.000
274,-10426031.000
275,-10442095.000
276,-10447983.000
277,-10441455.000
278,-10424815.000
279,-10399983.000
280,-10379439.000
281,-10366063.000
282,-10368047.000
283,-10387951.000
284,-10396207.000
285,-10396975.000
286,-10400943.000
287,-10416431.000
288,-10411951.000
289,-10389487.000
290,-10374319.000
291,-10368687.000
292,-10346287.000
293,-10306863.000
294,-10291567.000
295,-10300335.000
296,-10289263.000
297,-10257711.000
298,-10231919.000
299,-10213551.000
300,-10183151.000
301,-10139823.000
302,-10111471.000
303,-10096559.000
304,-10056431.000
305,-9994543.000
306,-9954991.000
307,-9936303.000
308,-9890479.000
309,-9821999.000
310,-9778031.000
311,-9762863.000
312,-9710511.000
313,-9619119.000
314,-9529135.000
315,-9438384.000
316,-9347247.000
317,-9254767.000
318,-9171312.000
319,-9097136.000
320,-9015535.000
321,-8924143.000
322,-8829680.000
323,-8728816.000
324,-8629040.000
325,-8527088.000
326,-8461616.000
327,-8431919.000
328,-8380910.500
329,-8312494.500
330,-8239920.000
331,-8165488.000
332,-8129392.000
333,-8131824.000
334,-8160496.000
335,-8211504.000
336,-8263536.500
337,-8317104.500
338,-8352944.000
339,-8367856.000
340,-8433008.000
341,-8548656.000
342,-8650672.000
343,-8745520.000
344,-8823984.000
345,-8890032.000
346,-8956848.000
347,-9022384.000
348,-9084592.000
349,-9142768.000
350,-9193328.000
351,-9236143.000
352,-9231664.000
353,-9178864.000
354,-9154672.000
355,-9152688.000
356,-9130928.000
357,-9084528.000
358,-9017584.000
359,-8929200.000
360,-8824560.000
361,-8709104.000
362,-8581041.000
363,-8443569.000
364,-8326129.000
365,-8229104.500
366,-8120240.500
367,-7997040.000
368,-7870896.000
369,-7743792.500
370,-7599344.500
371,-7435888.500
372,-7317616.500
373,-7245552.000
374,-7169776.000
375,-7093168.000
376,-7029616.000
377,-6981040.000
378,-6934448.500
379,-6893104.500
380,-6885104.500
381,-6907056.500
382,-6949872.500
383,-7012912.500
384,-7103088.500
385,-7215408.500
386,-7329776.500
387,-7443953.000
388,-7575089.000
389,-7728305.000
390,-7871088.500
391,-8012115.000
392,-8173074.500
393,-8356848.500
394,-8486704.000
395,-8566001.000
396,-8633649.000
397,-8690289.000
398,-8755504.000
399,-8827888.000
400,-8889840.000
401,-8935600.000
402,-8934640.000
403,-8881520.000
404,-8820912.000
405,-8754033.000
406,-8703473.000
407,-8670704.000
408,-8633264.000
409,-8595312.000
410,-8518512.000
411,-8401265.000
412,-8324336.500
413,-8287408.500
414,-8217648.500
415,-8108912.500
416,-8031664.500
417,-7981936.500
418,-7936048.500
419,-7894512.500
420,-7870384.500
421,-7865456.500
422,-7851120.500
423,-7822128.500
424,-7828976.500
425,-7867248.500
426,-7904497.000
427,-7945009.000
428,-8010160.500
429,-8099696.500
430,-8206704.500
431,-8329648.500
432,-8441649.000
433,-8544113.000
434,-8674609.000
435,-8830896.000
436,-8966192.000
437,-9083824.000
438,-9195632.000
439,-9298992.000
440,-9407344.000
441,-9511920.000
442,-9589616.000
443,-9640752.000
444,-9682864.000
445,-9711536.000
446,-9765360.000
447,-9844720.000
448,-9890479.000
449,-9905776.000
450,-9909680.000
451,-9902768.000
452,-9915696.000
453,-9948784.000
454,-9972720.000
455,-9986096.000
456,-10010029.000
457,-10043052.000
458,-10057904.000
459,-10050928.000
460,-10065968.000
461,-10097520.000
462,-10126704.000
463,-10149872.000
464,-10156976.000
465,-10146928.000
466,-10153776.000
467,-10184624.000
468,-10202032.000
469,-10213936.000
470,-10224880.000
471,-10235696.000
472,-10245360.000
473,-10256880.000
474,-10270512.000
475,-10289199.000
476,-10298735.000
477,-10300784.000
478,-10310576.000
479,-10328624.000
480,-10328880.000
481,-10311920.000
482,-10312688.000
483,-10327856.000
484,-10323120.000
485,-10299824.000
486,-10303472.000
487,-10331760.000
488,-10340080.000
489,-10327728.000
490,-10319216.000
491,-10306416.000
492,-10308080.000
493,-10326832.000
494,-10344880.000
495,-10364080.000
496,-10368816.000
497,-10362288.000
498,-10353840.000
499,-10347760.000
500,-10327472.000
501,-10294640.000
502,-10281712.000
503,-10287920.000
504,-10287599.000
505,-10277679.000
506,-10284464.000
507,-10300272.000
508,-10294960.000
509,-10273072.000
510,-10259376.000
511,-10255120.000
512,-10233745.000
513,-10200432.000
514,-10196144.000
515,-10217328.000
516,-10206768.000
517,-10161584.000
518,-10125744.000
519,-10103600.000
520,-10065136.000
521,-10008752.000
522,-9973360.000
523,-9957104.000
524,-9917360.000
525,-9857520.000
526,-9793264.000
527,-9719344.000
528,-9635184.000
529,-9533552.000
530,-9432113.000
531,-9327664.000
532,-9237616.000
533,-9157808.000
534,-9062128.000
535,-8949040.000
536,-8808176.000
537,-8638193.000
538,-8503153.000
539,-8406385.000
540,-8303152.500
541,-8188720.500
542,-8091121.000
543,-8009713.000
544,-7919408.500
545,-7827120.500
546,-7774512.500
547,-7761776.500
548,-7756272.500
549,-7761520.500
550,-7775280.500
551,-7798896.500
552,-7866224.000
553,-7973744.000
554,-8059568.000
555,-8127280.000
556,-8216240.000
557,-8322352.000
558,-8415152.000
559,-8499248.000
560,-8597360.000
561,-8711024.000
562,-8784624.000
563,-8818736.000
564,-8824048.000
565,-8799856.000
566,-8781040.000
567,-8765872.000
568,-8702256.000
569,-8588976.000
570,-8480688.000
571,-8377264.000
572,-8242288.000
573,-8072048.500
574,-7908080.500
575,-7754736.000
576,-7585391.500
577,-7397679.500
578,-7218096.000
579,-7042800.000
580,-6858160.500
581,-6663600.500
582,-6530544.500
583,-6455600.500
584,-6331952.500
585,-6163441.000
586,-6066673.000
587,-6034353.000
588,-6071793.000
589,-6173104.500
590,-6266224.500
