x,intensity
0,-16076230
1,-15840116
2,-15760354
3,-15799871
4,-15902880
5,-16044117
6,-16142405
7,-16181047
8,-16237135
9,-16293287
10,-16330799
11,-16363620
12,-16386263
13,-16391982
14,-16396285
15,-16405591
16,-16410467
17,-16399520
18,-16394215
19,-16411422
20,-16426603
21,-16429278
22,-16428576
23,-16433141
24,-16436432
25,-16439830
26,-16445196
27,-16443688
28,-16435943
29,-16433300
30,-16440929
31,-16445354
32,-16445959
33,-16440814
34,-16433703
35,-16439007
36,-16446376
37,-16438292
38,-16430503
39,-16431585
40,-16433941
41,-16438850
42,-16441027
43,-16435409
44,-16436188
45,-16441714
46,-16444707
47,-16447368
48,-16449583
49,-16451006
50,-16450559
51,-16449615
52,-16443562
53,-16433969
54,-16432763
55,-16441757
56,-16449471
57,-16446102
58,-16437339
59,-16437971
60,-16442586
61,-16439393
62,-16438115
63,-16441570
64,-16443255
65,-16439028
66,-16436503
67,-16442120
68,-16445131
69,-16444847
70,-16445501
71,-16445663
72,-16441556
73,-16435317
74,-16436697
75,-16443694
76,-16445185
77,-16446743
78,-16451093
79,-16447032
80,-16436619
81,-16432205
82,-16433371
83,-16430222
84,-16431766
85,-16443236
86,-16450132
87,-16448114
88,-16444316
89,-16447237
90,-16451273
91,-16444681
92,-16428346
93,-16421613
94,-16432721
95,-16443265
96,-16441751
97,-16435307
98,-16434539
99,-16437660
100,-16438750
101,-16436828
102,-16434673
103,-16434050
104,-16435743
105,-16441283
106,-16446678
107,-16445786
108,-16446601
109,-16447844
110,-16444631
111,-16443565
112,-16444325
113,-16443287
114,-16439728
115,-16439102
116,-16440931
117,-16439192
118,-16435633
119,-16436260
120,-16439597
121,-16441748
122,-16439696
123,-16431107
124,-16434785
125,-16448916
126,-16451304
127,-16441902
128,-16440719
129,-16447233
130,-16449508
131,-16447899
132,-16445223
133,-16444680
134,-16447278
135,-16450218
136,-16446276
137,-16440449
138,-16442502
139,-16448132
140,-16446619
141,-16443349
142,-16441851
