x,intensity
0,-16450240
1,-16447872
2,-16434478
3,-16434675
4,-16428966
5,-16430674
6,-16431905
7,-16430448
8,-16427969
9,-16433074
10,-16441460
11,-16445821
12,-16447838
13,-16445153
14,-16438379
15,-16430013
16,-16427348
17,-16425113
18,-16411481
19,-16410188
20,-16426129
21,-16433279
22,-16431683
23,-16434064
24,-16437513
25,-16439885
26,-16442305
27,-16444727
28,-16442183
29,-16437532
30,-16439378
31,-16444472
32,-16446776
33,-16444863
34,-16439426
35,-16435069
36,-16441781
37,-16448179
38,-16443625
39,-16438054
40,-16431168
41,-16430098
42,-16436660
43,-16438616
44,-16438938
45,-16442503
46,-16445466
47,-16447168
48,-16449117
49,-16448645
50,-16446819
51,-16446492
52,-16445615
53,-16445388
54,-16443196
55,-16437501
56,-16437664
57,-16443307
58,-16445304
59,-16444057
60,-16438108
61,-16434362
62,-16440710
63,-16446050
64,-16448537
65,-16446844
66,-16438031
67,-16433388
68,-16438306
69,-16441972
70,-16442480
71,-16445632
72,-16447208
73,-16443749
74,-16441673
75,-16441147
76,-16439468
77,-16444123
78,-16450659
79,-16449296
80,-16445563
81,-16440802
82,-16433625
83,-16430056
84,-16435104
85,-16442589
86,-16442854
87,-16441118
88,-16443775
89,-16449041
90,-16451074
91,-16450071
92,-16444611
93,-16431717
94,-16424471
95,-16432855
96,-16442779
97,-16442370
98,-16437174
99,-16438449
100,-16440919
101,-16436469
102,-16430825
103,-16427828
104,-16430174
105,-16438927
106,-16447177
107,-16451320
108,-16450826
109,-16445631
110,-16441957
111,-16440785
112,-16442462
113,-16444015
114,-16444457
115,-16446580
116,-16446392
117,-16440317
118,-16434452
119,-16432936
120,-16437343
121,-16443601
122,-16441244
123,-16432155
124,-16432591
125,-16443704
126,-16452077
127,-16451688
128,-16442267
129,-16440623
130,-16447910
131,-16447537
132,-16444622
133,-16444548
134,-16444734
135,-16446899
136,-16446332
137,-16441114
138,-16441950
139,-16446342
140,-16446271
141,-16447923
142,-16450650
143,-16447106
144,-16439501
145,-16434678
146,-16435663
147,-16440286
148,-16438865
149,-16431557
150,-16429132
151,-16432903
152,-16432349
153,-16428138
154,-16432080
155,-16438145
156,-16439354
157,-16442766
158,-16444791
159,-16439799
160,-16434135
161,-16433697
162,-16437392
163,-16439602
164,-16434610
165,-16425988
166,-16427046
167,-16435561
168,-16438943
169,-16441971
170,-16447883
171,-16452278
172,-16454533
173,-16451230
174,-16446503
175,-16447387
176,-16446699
177,-16444204
178,-16445773
179,-16440874
180,-16430480
181,-16431941
182,-16439695
183,-16444565
184,-16446333
185,-16443687
186,-16439276
187,-16435112
188,-16435696
189,-16441087
190,-16442816
191,-16439355
192,-16441387
193,-16445887
194,-16443806
195,-16442859
196,-16440297
197,-16426419
198,-16406903
199,-16375069
200,-16284468
201,-16071124
202,-15784800
203,-15505928
204,-15273984
205,-15135494
206,-15126644
207,-15147142
208,-15193835
209,-15292131
210,-15402077
211,-15514878
212,-15637272
213,-15759162
214,-15870016
215,-15976072
216,-16071730
217,-16137361
218,-16197485
219,-16254429
220,-16306428
221,-16352791
222,-16387070
223,-16412356
224,-16427477
225,-16432479
226,-16425626
227,-16416231
228,-16417682
229,-16430885
230,-16442243
231,-16444683
232,-16444277
233,-16444913
234,-16447244
235,-16448536
236,-16448612
237,-16449836
238,-16448797
239,-16445550
240,-16445899
241,-16446171
242,-16443794
243,-16444428
244,-16445580
245,-16447732
246,-16444613
247,-16430071
248,-16425598
249,-16439990
250,-16448357
251,-16439122
252,-16432147
253,-16435192
254,-16435722
255,-16435110
256,-16440286
257,-16444209
258,-16444727
259,-16442938
260,-16446832
261,-16452096
262,-16447001
263,-16439323
264,-16430400
265,-16424314
266,-16429971
267,-16436046
268,-16434425
269,-16435842
270,-16440133
271,-16439422
272,-16442301
273,-16449498
274,-16448188
275,-16437167
276,-16433005
277,-16436508
278,-16439993
279,-16444640
280,-16447898
281,-16447674
282,-16443308
283,-16434538
284,-16428836
285,-16429042
286,-16427604
287,-16431559
288,-16442744
289,-16448156
290,-16449377
291,-16446590
292,-16437712
293,-16427814
294,-16424446
295,-16432857
296,-16442879
297,-16448813
298,-16449758
299,-16444934
300,-16443276
301,-16442176
302,-16437367
303,-16435848
304,-16437686
305,-16442651
306,-16451164
307,-16454867
308,-16454944
309,-16452971
310,-16444017
311,-16440675
312,-16445717
313,-16444899
314,-16436359
315,-16421772
316,-16417070
317,-16431850
318,-16444256
319,-16446441
320,-16444044
321,-16438808
322,-16442239
323,-16450539
324,-16453050
325,-16450430
326,-16443206
327,-16439495
328,-16441586
329,-16444984
330,-16446358
331,-16441554
332,-16435885
333,-16433348
334,-16435177
335,-16440411
336,-16444331
337,-16442091
338,-16436378
339,-16434850
340,-16440387
341,-16445139
342,-16442576
343,-16443413
344,-16445972
345,-16442540
346,-16441014
347,-16445599
348,-16450391
349,-16452713
350,-16453430
351,-16449904
352,-16442229
353,-16436832
354,-16436179
355,-16438003
356,-16442080
357,-16444863
358,-16445323
359,-16446267
360,-16446024
361,-16443541
362,-16442513
363,-16441592
364,-16444509
365,-16450603
366,-16452207
367,-16451573
368,-16452100
369,-16451068
370,-16444835
371,-16440985
372,-16441153
373,-16441109
374,-16438694
375,-16433512
376,-16433669
377,-16439606
378,-16441159
379,-16436041
380,-16430737
381,-16433099
382,-16441424
383,-16445517
384,-16440740
385,-16440306
386,-16444395
387,-16445471
388,-16444200
389,-16440938
390,-16438015
391,-16432104
392,-16429472
393,-16431716
394,-16438469
395,-16449485
396,-16448299
397,-16440042
398,-16437783
399,-16439259
400,-16439329
401,-16439845
402,-16440198
403,-16435550
404,-16436938
405,-16440074
406,-16435646
407,-16436401
408,-16440331
409,-16441926
410,-16446271
411,-16447808
412,-16441069
413,-16437464
414,-16442608
415,-16446070
416,-16444031
417,-16441358
418,-16439826
419,-16438424
420,-16438871
421,-16437720
422,-16434802
423,-16439657
424,-16448033
425,-16451415
426,-16450424
427,-16444042
428,-16440646
429,-16443322
430,-16444409
431,-16446732
432,-16451426
433,-16453179
434,-16449781
435,-16445494
436,-16445012
437,-16444706
438,-16438565
439,-16429513
440,-16429535
441,-16439264
442,-16444238
443,-16440990
444,-16438888
445,-16439082
446,-16433594
447,-16428443
448,-16435791
449,-16449137
450,-16453481
451,-16447438
452,-16440982
453,-16434195
454,-16431835
455,-16437550
456,-16445101
457,-16446817
458,-16444692
459,-16445656
460,-16442906
461,-16437246
462,-16435071
463,-16440037
464,-16440850
465,-16433625
466,-16435417
467,-16440280
468,-16435926
469,-16433732
470,-16442179
471,-16449992
472,-16448548
473,-16447767
474,-16447255
475,-16444469
476,-16444586
477,-16441730
478,-16434828
479,-16439185
480,-16447792
481,-16440324
482,-16427697
483,-16428659
484,-16436197
485,-16440161
486,-16440867
487,-16437425
488,-16436140
489,-16439428
490,-16441095
491,-16444305
492,-16450146
493,-16449995
494,-16440951
495,-16437277
496,-16440851
497,-16442346
498,-16445385
499,-16449658
500,-16447515
501,-16440978
502,-16435814
503,-16432818
504,-16436449
505,-16443419
506,-16445386
507,-16446082
508,-16447736
509,-16446320
510,-16445962
511,-16447461
512,-16442648
513,-16435531
514,-16440593
515,-16449243
516,-16449883
517,-16448008
518,-16445570
519,-16443014
520,-16440462
521,-16439554
522,-16440523
523,-16443546
524,-16446157
525,-16445080
526,-16441441
527,-16436321
528,-16437007
529,-16444910
530,-16444484
531,-16434493
532,-16433957
533,-16441476
534,-16442789
535,-16441109
536,-16442316
537,-16440072
538,-16441394
539,-16450046
540,-16450965
541,-16444285
542,-16438539
543,-16438043
544,-16442831
545,-16446919
546,-16449075
547,-16450603
548,-16448011
549,-16444722
550,-16443144
551,-16442434
552,-16445507
553,-16445935
554,-16439862
555,-16431875
556,-16430810
557,-16436755
558,-16442803
559,-16440877
560,-16437162
561,-16435625
562,-16429130
563,-16427346
564,-16439995
565,-16453093
566,-16451312
567,-16442570
568,-16439373
569,-16441980
570,-16436360
571,-16427505
572,-16434692
573,-16447910
574,-16447532
575,-16444198
576,-16441775
577,-16433372
578,-16428532
579,-16435343
580,-16443873
581,-16445266
582,-16443612
583,-16446699
584,-16450167
585,-16449371
586,-16444352
587,-16436073
588,-16433937
589,-16432480
590,-16428762
591,-16433676
592,-16443248
593,-16445737
594,-16444078
595,-16449091
596,-16455304
597,-16456014
598,-16450999
599,-16443585
600,-16442613
601,-16447756
602,-16445373
603,-16442221
604,-16446144
605,-16450740
606,-16448300
607,-16440129
608,-16434137
609,-16430836
610,-16433606
611,-16441151
612,-16445895
613,-16445993
614,-16442744
615,-16434962
616,-16432886
617,-16436378
618,-16436389
619,-16437444
620,-16439159
621,-16439547
622,-16437085
623,-16430047
624,-16421893
625,-16425263
626,-16438479
627,-16446479
628,-16444130
629,-16436416
630,-16439171
631,-16450745
632,-16451917
633,-16442728
634,-16438934
635,-16441884
636,-16444102
637,-16444136
638,-16443886
639,-16439975
640,-16433930
641,-16433286
642,-16435799
643,-16434745
644,-16432645
645,-16434613
646,-16439020
647,-16430496
648,-16416737
649,-16415803
650,-16402945
651,-16341890
652,-16207670
653,-15994596
654,-15753286
655,-15583607
656,-15456350
657,-15341696
658,-15311850
659,-15344787
660,-15397678
661,-15470790
662,-15549469
663,-15650541
664,-15785331
665,-15921058
666,-16021443
667,-16100529
668,-16163760
669,-16216939
670,-16279287
671,-16339184
672,-16373302
673,-16384817
674,-16395513
675,-16411439
676,-16425416
677,-16430109
678,-16424707
679,-16425948
680,-16437958
681,-16442174
682,-16438564
683,-16433787
684,-16429498
685,-16432657
686,-16434785
687,-16433451
688,-16438077
689,-16441783
690,-16440016
691,-16433441
692,-16431581
693,-16437453
694,-16441426
695,-16442946
696,-16442400
697,-16437275
698,-16435166
699,-16434200
700,-16435855
701,-16442811
702,-16447680
703,-16449319
704,-16447710
705,-16443328
706,-16437055
707,-16430599
708,-16430739
709,-16436531
710,-16435782
711,-16434839
712,-16440161
713,-16443804
714,-16443511
715,-16442065
716,-16443479
717,-16438841
718,-16429808
719,-16431766
720,-16435575
721,-16434801
722,-16438147
723,-16443033
724,-16440689
725,-16435197
726,-16430614
727,-16433468
728,-16439394
729,-16433928
730,-16428256
731,-16428733
732,-16432295
733,-16438732
734,-16441819
735,-16443555
736,-16442050
737,-16438019
738,-16440663
739,-16444550
740,-16444443
741,-16444437
742,-16443777
743,-16441848
744,-16442100
745,-16445098
746,-16447240
747,-16445328
748,-16440978
749,-16439260
750,-16436330
751,-16430221
752,-16430827
753,-16438641
754,-16442618
755,-16437940
756,-16434483
757,-16430228
758,-16425364
759,-16432279
760,-16436805
761,-16431863
762,-16434293
763,-16442132
764,-16438752
765,-16422376
766,-16420917
767,-16432359
768,-16436492
769,-16442988
770,-16450150
771,-16449794
772,-16438325
773,-16426408
774,-16432778
775,-16442459
776,-16439757
777,-16435133
778,-16436497
779,-16439708
780,-16437525
781,-16432273
782,-16429384
783,-16432567
784,-16436218
785,-16432269
786,-16432149
787,-16438313
788,-16441497
789,-16445992
790,-16451237
791,-16450033
792,-16444223
793,-16442314
794,-16445259
795,-16444809
796,-16440113
797,-16439543
798,-16436686
799,-16429801
800,-16432461
801,-16439780
802,-16441752
803,-16442229
804,-16440353
805,-16438156
806,-16440696
807,-16443745
808,-16444521
809,-16442403
810,-16442917
811,-16443972
812,-16441137
813,-16444397
814,-16445162
815,-16434218
816,-16432358
817,-16439412
818,-16440447
819,-16437736
820,-16440793
821,-16448092
822,-16448049
823,-16440447
824,-16431429
825,-16430785
826,-16440665
827,-16446349
828,-16446751
829,-16447156
830,-16447212
831,-16449779
832,-16448636
833,-16439801
834,-16434522
835,-16440737
836,-16441809
837,-16432985
838,-16433613
839,-16438483
840,-16438234
841,-16440611
842,-16434160
843,-16420462
844,-16425806
845,-16439723
846,-16443374
847,-16441785
848,-16439493
849,-16438944
850,-16441487
851,-16439227
852,-16431005
853,-16426893
854,-16429458
855,-16435412
856,-16439366
857,-16439987
858,-16436918
859,-16433289
860,-16433428
861,-16438615
862,-16442170
863,-16444267
864,-16439035
865,-16428756
866,-16432328
867,-16445457
868,-16448528
869,-16445443
870,-16443915
871,-16441291
872,-16442213
873,-16443205
874,-16437117
875,-16433247
876,-16436692
877,-16438784
878,-16442418
879,-16446735
880,-16443716
881,-16438588
882,-16442735
883,-16451272
884,-16448620
885,-16434971
886,-16426828
887,-16432243
888,-16440299
889,-16442610
890,-16442409
891,-16443836
892,-16444825
893,-16439851
894,-16433010
895,-16436407
896,-16443107
897,-16439643
898,-16426493
899,-16394458
900,-16310568
901,-16180711
902,-16053086
903,-15894075
904,-15600252
905,-15099522
906,-14364990
907,-13334793
908,-12215958
909,-11418476
910,-10849875
911,-10373408
912,-10199669
913,-10228167
914,-10423107
915,-10808119
916,-11251574
917,-11736971
918,-12253773
919,-12747341
920,-13136745
921,-13494092
922,-13829794
923,-14118764
924,-14411652
925,-14719390
926,-15020627
927,-15246082
928,-15422082
929,-15606435
930,-15776652
931,-15906385
932,-16002549
933,-16094660
934,-16173929
935,-16231131
936,-16284618
937,-16332795
938,-16362705
939,-16381081
940,-16403158
941,-16422782
942,-16431608
943,-16428918
944,-16424759
945,-16426308
946,-16428550
947,-16431334
948,-16440467
949,-16445253
950,-16437972
951,-16434561
952,-16436513
953,-16435679
954,-16438152
955,-16441544
956,-16441870
957,-16443094
958,-16446044
959,-16447597
960,-16445989
961,-16438379
962,-16427142
963,-16430400
964,-16445096
965,-16450346
966,-16449575
967,-16448736
968,-16442543
969,-16438324
970,-16440535
971,-16437914
972,-16435290
973,-16439524
974,-16443023
