x,intensity
0,-16449816.000
1,-16436390.000
2,-16430275.000
3,-16431024.000
4,-16443417.000
5,-16438773.000
6,-16428939.000
7,-16430220.000
8,-16442114.000
9,-16448686.000
10,-16444648.000
11,-16435410.000
12,-16434577.000
13,-16438055.000
14,-16433574.000
15,-16424459.000
16,-16407794.000
17,-16401471.000
18,-16419398.000
19,-16438312.000
20,-16441863.000
21,-16430229.000
22,-16425750.000
23,-16437842.000
24,-16444359.000
25,-16442743.000
26,-16444649.000
27,-16448739.000
28,-16446565.000
29,-16443016.000
30,-16444376.000
31,-16446071.000
32,-16445698.000
33,-16440020.000
34,-16438959.000
35,-16445318.000
36,-16441622.000
37,-16432968.000
38,-16431300.000
39,-16435980.000
40,-16443344.000
41,-16444131.000
42,-16439141.000
43,-16440434.000
44,-16446513.000
45,-16445304.000
46,-16445051.000
47,-16449962.000
48,-16453704.000
49,-16453185.000
50,-16445713.000
51,-16436387.000
52,-16432624.000
53,-16435056.000
54,-16441257.000
55,-16446518.000
56,-16443775.000
57,-16441896.000
58,-16443181.000
59,-16442095.000
60,-16440176.000
61,-16439928.000
62,-16441779.000
63,-16439101.000
64,-16439225.000
65,-16444777.000
66,-16447502.000
67,-16447375.000
68,-16445817.000
69,-16445722.000
70,-16444494.000
71,-16440623.000
72,-16438081.000
73,-16440712.000
74,-16445166.000
75,-16445576.000
76,-16447368.000
77,-16451667.000
78,-16448503.000
79,-16436268.000
80,-16430048.000
81,-16432376.000
82,-16436329.000
83,-16442583.000
84,-16446625.000
85,-16448412.000
86,-16446872.000
87,-16443652.000
88,-16444912.000
89,-16449432.000
90,-16445974.000
91,-16433724.000
92,-16428124.000
93,-16434948.000
94,-16444261.000
95,-16446002.000
96,-16435854.000
97,-16427660.000
98,-16435066.000
99,-16440254.000
100,-16437578.000
101,-16438665.000
102,-16439617.000
103,-16435964.000
104,-16436504.000
105,-16443626.000
106,-16446547.000
107,-16445503.000
108,-16444902.000
109,-16439524.000
110,-16386339.000
111,-16224140.000
112,-15896563.000
113,-15392222.000
114,-14731204.000
115,-13866331.000
116,-12678594.000
117,-11320104.000
118,-10518922.000
119,-10411028.000
120,-10486502.000
121,-10568741.000
122,-10630625.000
123,-10702860.000
124,-10927472.000
125,-11253041.000
126,-11616522.000
127,-12046410.000
128,-12441419.000
129,-12786953.000
130,-13122899.000
131,-13433063.000
132,-13757787.000
133,-14088685.000
134,-14372379.000
135,-14650081.000
136,-14953095.000
137,-15214775.000
138,-15417395.000
139,-15593490.000
140,-15737290.000
141,-15851250.000
142,-15945712.000
143,-16036033.000
144,-16117175.000
145,-16178871.000
146,-16233485.000
147,-16283831.000
148,-16318459.000
149,-16343720.000
150,-16365076.000
151,-16386761.000
152,-16408002.000
153,-16422524.000
154,-16425882.000
155,-16427684.000
156,-16431053.000
157,-16429521.000
158,-16425381.000
159,-16421619.000
160,-16420075.000
161,-16421414.000
162,-16421227.000
163,-16420587.000
164,-16423776.000
165,-16424548.000
166,-16425934.000
167,-16435649.000
168,-16442413.000
169,-16445680.000
170,-16447743.000
171,-16440590.000
172,-16430536.000
173,-16433650.000
174,-16444229.000
175,-16444686.000
176,-16435020.000
177,-16431320.000
178,-16437016.000
179,-16441635.000
180,-16440047.000
181,-16434666.000
182,-16431782.000
183,-16429125.000
184,-16431235.000
185,-16441308.000
186,-16446099.000
187,-16443851.000
188,-16441224.000
189,-16438821.000
190,-16437555.000
191,-16438250.000
192,-16435912.000
193,-16435579.000
