x,intensity
0,-16452590.000
1,-16442838.000
2,-16438400.000
3,-16424118.000
4,-16425869.000
5,-16442822.000
6,-16439597.000
7,-16427797.000
8,-16427003.000
9,-16435754.000
10,-16442929.000
11,-16448797.000
12,-16447025.000
13,-16436999.000
14,-16432216.000
15,-16433645.000
16,-16424687.000
17,-16404970.000
18,-16404568.000
19,-16424404.000
20,-16434000.000
21,-16431425.000
22,-16431505.000
23,-16434307.000
24,-16435459.000
25,-16440799.000
26,-16447330.000
27,-16444913.000
28,-16436316.000
29,-16434311.000
30,-16442432.000
31,-16446856.000
32,-16446275.000
33,-16441105.000
34,-16434040.000
35,-16439148.000
36,-16446848.000
37,-16441441.000
38,-16434745.000
39,-16429374.000
40,-16428299.000
41,-16437589.000
42,-16441302.000
43,-16434683.000
44,-16435321.000
45,-16442757.000
46,-16444674.000
47,-16445936.000
48,-16449548.000
49,-16450584.000
50,-16448672.000
51,-16448311.000
52,-16443256.000
53,-16434354.000
54,-16434031.000
55,-16441759.000
56,-16449165.000
57,-16448910.000
58,-16440929.000
59,-16438237.000
60,-16441202.000
61,-16439025.000
62,-16439392.000
63,-16443169.000
64,-16443014.000
65,-16437771.000
66,-16435572.000
67,-16440845.000
68,-16444235.000
69,-16444085.000
70,-16437378.000
71,-16401095.000
72,-16277586.000
73,-16039839.000
74,-15704266.000
75,-15293806.000
76,-14714940.000
77,-13854231.000
78,-12831606.000
79,-11849886.000
80,-11286267.000
81,-11236045.000
82,-11296523.000
83,-11304370.000
84,-11381721.000
85,-11553618.000
86,-11733510.000
87,-11942961.000
88,-12232597.000
89,-12583767.000
90,-12966043.000
91,-13320947.000
92,-13594341.000
93,-13859187.000
94,-14183371.000
95,-14474384.000
96,-14716238.000
97,-14954470.000
98,-15177516.000
99,-15357967.000
100,-15490208.000
101,-15605396.000
102,-15710681.000
103,-15811332.000
104,-15900752.000
105,-15977664.000
106,-16054926.000
107,-16126538.000
108,-16180613.000
109,-16219027.000
110,-16250880.000
111,-16281794.000
112,-16309459.000
113,-16330973.000
114,-16350513.000
115,-16369454.000
116,-16381517.000
117,-16388209.000
118,-16391560.000
119,-16398705.000
120,-16413085.000
121,-16421605.000
122,-16418946.000
123,-16413986.000
124,-16418180.000
125,-16433393.000
126,-16437937.000
127,-16428489.000
128,-16427442.000
