x,intensity
0,-16452852.000
1,-16450281.000
2,-16438663.000
3,-16430977.000
4,-16415792.000
5,-16420320.000
6,-16426607.000
7,-16426137.000
8,-16418976.000
9,-16424526.000
10,-16435053.000
11,-16438387.000
12,-16442835.000
13,-16445578.000
14,-16438472.000
15,-16424107.000
16,-16416953.000
17,-16412284.000
18,-16396464.000
19,-16395588.000
20,-16416110.000
21,-16426099.000
22,-16423693.000
23,-16426902.000
24,-16431874.000
25,-16435127.000
26,-16435993.000
27,-16438248.000
28,-16440775.000
29,-16432757.000
30,-16425860.000
31,-16432245.000
32,-16440139.000
33,-16436699.000
34,-16425888.000
35,-16423022.000
36,-16432414.000
37,-16441884.000
38,-16440853.000
39,-16433919.000
40,-16425912.000
41,-16419783.000
42,-16427145.000
43,-16437108.000
44,-16432401.000
45,-16431916.000
46,-16438080.000
47,-16436868.000
48,-16440492.000
49,-16445061.000
50,-16444822.000
51,-16444900.000
52,-16444133.000
53,-16444203.000
54,-16443034.000
55,-16439971.000
56,-16434531.000
57,-16431460.000
58,-16437925.000
59,-16440891.000
60,-16432116.000
61,-16431468.000
62,-16435338.000
63,-16437676.000
64,-16443562.000
65,-16445240.000
66,-16437219.000
67,-16427693.000
68,-16429785.000
69,-16434566.000
70,-16436838.000
71,-16443953.000
72,-16447474.000
73,-16438297.000
74,-16431892.000
75,-16434669.000
76,-16436827.000
77,-16438296.000
78,-16442727.000
79,-16445886.000
80,-16442779.000
81,-16435984.000
82,-16426907.000
83,-16421605.000
84,-16427877.000
85,-16434873.000
86,-16434686.000
87,-16435670.000
88,-16439611.000
89,-16442456.000
90,-16445554.000
91,-16447733.000
92,-16447392.000
93,-16436886.000
94,-16414300.000
95,-16410898.000
96,-16432731.000
97,-16445678.000
98,-16439769.000
99,-16428770.000
100,-16425941.000
101,-16423474.000
102,-16420508.000
103,-16422331.000
104,-16424112.000
105,-16432277.000
106,-16442510.000
107,-16449328.000
108,-16452289.000
109,-16449299.000
110,-16442337.000
111,-16436325.000
112,-16434889.000
113,-16436266.000
114,-16439454.000
115,-16442074.000
116,-16442960.000
117,-16440996.000
118,-16431315.000
119,-16420153.000
120,-16425945.000
121,-16441927.000
122,-16440323.000
123,-16425409.000
124,-16420102.000
125,-16431103.000
126,-16447452.000
127,-16449520.000
128,-16439382.000
129,-16439796.000
130,-16446749.000
131,-16445234.000
132,-16445036.000
133,-16446157.000
134,-16443050.000
135,-16444992.000
136,-16441845.000
137,-16431181.000
138,-16436259.000
139,-16446223.000
140,-16440957.000
141,-16438311.000
142,-16446859.000
143,-16447012.000
144,-16436790.000
145,-16431039.000
146,-16430925.000
147,-16427881.000
148,-16426339.000
149,-16425841.000
150,-16425793.000
151,-16430162.000
152,-16429352.000
153,-16417325.000
154,-16412871.000
155,-16424773.000
156,-16431532.000
157,-16433402.000
158,-16440159.000
159,-16437296.000
160,-16429984.000
161,-16430723.000
162,-16430849.000
163,-16430211.000
164,-16430789.000
165,-16427014.000
166,-16420441.000
167,-16420146.000
168,-16431069.000
169,-16435372.000
170,-16432477.000
171,-16441640.000
172,-16451758.000
173,-16448100.000
174,-16443049.000
175,-16445007.000
176,-16445782.000
177,-16445486.000
178,-16444187.000
179,-16435874.000
180,-16425611.000
181,-16426139.000
182,-16437135.000
183,-16444413.000
184,-16443575.000
185,-16441593.000
186,-16438775.000
187,-16435251.000
188,-16429917.000
189,-16425579.000
190,-16429097.000
191,-16430290.000
192,-16435618.000
193,-16446691.000
194,-16448496.000
195,-16446782.000
196,-16442887.000
197,-16439159.000
198,-16435131.000
