x,intensity
0,-8856229.000
1,-8724645.000
2,-8641062.000
3,-8610406.000
4,-8586598.000
5,-8566630.000
6,-8531621.000
7,-8481254.000
8,-8443301.000
9,-8414245.000
10,-8377894.000
11,-8336294.000
12,-8300069.500
13,-8271909.500
14,-8239974.000
15,-8205350.000
16,-8203558.000
17,-8232038.000
18,-8251110.000
19,-8265126.000
20,-8269221.500
21,-8264869.500
22,-8264485.500
23,-8274790.000
24,-8306342.000
25,-8365026.500
26,-8409762.000
27,-8439334.000
28,-8483297.000
29,-8532769.000
30,-8573542.000
31,-8606246.000
32,-8653094.000
33,-8712102.000
34,-8752806.000
35,-8777765.000
36,-8806438.000
37,-8850534.000
38,-8902310.000
39,-8958886.000
40,-8999909.000
41,-9026469.000
42,-9056420.000
43,-9087397.000
44,-9118245.000
45,-9147173.000
46,-9168357.000
47,-9183333.000
48,-9188069.000
49,-9182564.000
50,-9170853.000
51,-9153445.000
52,-9140070.000
53,-9132006.000
54,-9138405.000
55,-9152997.000
56,-9143524.000
57,-9110948.000
58,-9094948.000
59,-9083237.000
60,-9071845.000
61,-9057253.000
62,-9036902.000
63,-9017062.000
64,-8988646.000
65,-8948581.000
66,-8917478.000
67,-8898470.000
68,-8860966.000
69,-8803622.000
70,-8751078.000
71,-8702182.000
72,-8631462.000
73,-8540454.000
74,-8485670.000
75,-8472742.000
76,-8438886.000
77,-8373926.000
78,-8312934.000
79,-8261670.000
80,-8196646.000
81,-8116198.500
82,-8036454.500
83,-7954854.500
84,-7882406.000
85,-7818022.500
86,-7752678.500
87,-7690727.000
88,-7631207.000
89,-7572327.000
90,-7519014.500
91,-7464934.500
92,-7412327.000
93,-7366631.500
94,-7322407.500
95,-7285287.000
96,-7269223.000
97,-7282983.500
98,-7320487.000
99,-7384999.000
100,-7399719.500
101,-7362152.000
102,-7363431.500
103,-7412136.000
104,-7464808.000
105,-7519720.000
106,-7606376.000
107,-7724455.500
108,-7815719.500
109,-7878055.500
110,-7948967.500
111,-8027431.500
112,-8110823.500
113,-8198951.500
114,-8280039.500
115,-8356839.500
116,-8419623.000
117,-8462376.000
118,-8524968.000
