X	Y
0	-7526430.500
1	-7407634.500
2	-7364503.000
3	-7403289.000
4	-7442323.000
5	-7475662.500
6	-7433433.500
7	-7320163.500
8	-7174374.500
9	-6996004.500
10	-6758445.000
11	-6466671.500
12	-6132084.000
13	-5746933.000
14	-5341687.500
15	-4910136.500
16	-4483576.500
17	-4062201.250
18	-3770874.000
19	-3607994.000
20	-3594041.750
21	-3731193.500
22	-4065849.250
23	-4594040.500
24	-5225463.500
25	-5955382.000
26	-6583283.000
27	-7111792.000
28	-7532572.500
29	-7847099.000
30	-8047160.500
31	-8132976.000
32	-8188963.500
33	-8211562.000
34	-8213734.500
35	-8189534.000
36	-8205088.000
37	-8255512.000
38	-8357773.500
39	-8503564.000
40	-8685555.000
41	-8911361.000
42	-9149057.000
43	-9404552.000
44	-9671810.000
45	-9948522.000
46	-10170350.000
47	-10343110.000
48	-10486472.000
49	-10602545.000
50	-10690091.000
51	-10748142.000
52	-10791382.000
53	-10822585.000
54	-10860746.000
55	-10895890.000
56	-10918522.000
57	-10933053.000
58	-10949058.000
59	-10961103.000
60	-10969628.000
61	-10978966.000
62	-10973426.000
63	-10959359.000
64	-10945334.000
65	-10935149.000
66	-10932385.000
67	-10939005.000
68	-10934995.000
69	-10909749.000
70	-10887769.000
71	-10868001.000
72	-10833742.000
73	-10779423.000
74	-10742508.000
75	-10728805.000
76	-10715855.000
77	-10698479.000
78	-10678402.000
79	-10656237.000
80	-10614700.000
81	-10553568.000
82	-10485241.000
83	-10413039.000
84	-10341725.000
85	-10266139.000
86	-10182295.000
87	-10089893.000
88	-9995236.000
89	-9894946.000
90	-9775584.000
91	-9641255.000
92	-9502265.000
93	-9357062.000
94	-9202027.000
95	-9040145.000
96	-8863601.000
97	-8671687.000
98	-8494110.000
99	-8331684.000
100	-8128447.500
101	-7883354.000
102	-7660001.500
103	-7458280.000
104	-7257326.500
105	-7054768.500
106	-6924083.000
107	-6871987.000
108	-6845491.500
109	-6842546.500
110	-6869748.000
111	-6926516.500
112	-6969330.000
113	-6993074.500
114	-6978100.000
115	-6924980.000
116	-6804724.000
117	-6620725.500
118	-6402037.500
119	-6148468.500
120	-5811190.000
121	-5399800.000
122	-4953400.500
123	-4470457.000
124	-3984377.750
125	-3497466.250
126	-3081530.750
127	-2740603.250
128	-2642363.250
129	-2781755.000
130	-3108986.750
131	-3628218.000
132	-4234425.000
133	-4918392.500
134	-5604535.500
135	-6288758.000
136	-6847602.500
137	-7280685.500
138	-7549281.500
139	-7649126.000
140	-7741668.500
141	-7829787.500
142	-7843482.500
143	-7787161.500
144	-7749210.000
145	-7731231.000
146	-7747235.500
147	-7797090.000
148	-7927072.000
149	-8133972.500
150	-8357316.000
151	-8591601.000
152	-8854171.000
153	-9150184.000
154	-9423334.000
155	-9662412.000
156	-9881285.000
157	-10080867.000
158	-10239036.000
159	-10350589.000
160	-10458375.000
161	-10554422.000
162	-10617069.000
163	-10653380.000
164	-10682705.000
165	-10705133.000
166	-10735440.000
167	-10767246.000
168	-10774415.000
169	-10754978.000
170	-10767807.000
171	-10805411.000
172	-10816560.000
173	-10800294.000
174	-10789079.000
175	-10781302.000
176	-10783747.000
177	-10800918.000
178	-10810227.000
179	-10805413.000
180	-10779471.000
181	-10729306.000
182	-10706862.000
183	-10725271.000
184	-10714816.000
185	-10674346.000
186	-10651519.000
187	-10643282.000
188	-10607070.000
189	-10546822.000
190	-10509558.000
191	-10498387.000
192	-10475602.000
193	-10435418.000
194	-10376352.000
195	-10301108.000
196	-10229535.000
197	-10162592.000
198	-10085288.000
199	-9994875.000
200	-9894030.000
201	-9780911.000
202	-9668321.000
203	-9557399.000
204	-9442181.000
205	-9321759.000
206	-9182015.000
207	-9022624.000
208	-8852024.000
209	-8667003.000
210	-8465418.000
211	-8245915.000
212	-8034595.500
213	-7830827.500
214	-7648942.500
215	-7483888.000
216	-7297969.000
217	-7098802.500
218	-6927924.000
219	-6787510.000
220	-6687091.000
221	-6623216.500
222	-6643765.500
223	-6747510.000
224	-6829686.000
225	-6888758.000
226	-6938548.500
227	-6979892.500
228	-6954997.000
229	-6866932.500
230	-6735861.500
231	-6564084.000
232	-6321397.000
233	-6009207.000
234	-5647799.500
235	-5233784.000
236	-4719033.000
237	-4097081.750
238	-3565242.500
239	-3126331.000
240	-2782651.250
241	-2537275.500
242	-2537019.500
243	-2784827.250
244	-3161338.750
245	-3668922.250
246	-4291449.000
247	-5031224.000
248	-5716151.500
249	-6339766.000
250	-6849206.000
251	-7234740.000
252	-7483250.500
253	-7590640.500
254	-7669424.500
255	-7718130.500
256	-7706480.000
257	-7628080.500
258	-7569011.000
259	-7525554.000
260	-7514351.000
261	-7537903.500
262	-7600179.000
263	-7701171.500
264	-7870579.500
265	-8112557.500
266	-8392485.000
267	-8708051.000
268	-8979012.000
269	-9217890.000
270	-9449904.000
271	-9675552.000
272	-9881317.000
273	-10063907.000
274	-10224303.000
275	-10357850.000
276	-10442323.000
277	-10489621.000
278	-10518077.000
279	-10529878.000
280	-10534692.000
281	-10539916.000
282	-10567534.000
283	-10620584.000
284	-10653504.000
285	-10661116.000
286	-10675207.000
287	-10697579.000
288	-10701207.000
289	-10677641.000
290	-10674663.000
291	-10688379.000
292	-10677718.000
293	-10647372.000
294	-10642113.000
295	-10658030.000
296	-10658856.000
297	-10643967.000
298	-10625994.000
299	-10598206.000
300	-10573069.000
301	-10544720.000
302	-10526285.000
303	-10512414.000
304	-10475580.000
305	-10409770.000
306	-10378347.000
307	-10379451.000
308	-10368659.000
309	-10345471.000
310	-10317152.000
311	-10286320.000
312	-10232083.000
313	-10151120.000
314	-10073944.000
315	-10008642.000
316	-9925103.000
317	-9822839.000
318	-9739892.000
319	-9671371.000
320	-9579240.000
321	-9462809.000
322	-9334601.000
323	-9189157.000
324	-9040189.000
325	-8883601.000
326	-8725657.000
327	-8562661.000
328	-8383717.000
329	-8184552.000
330	-7972783.000
331	-7746609.500
332	-7515443.000
333	-7279602.500
334	-7061172.000
335	-6866166.000
336	-6696246.500
337	-6547766.500
338	-6441654.500
339	-6382519.000
340	-6394871.000
341	-6476278.500
342	-6574454.500
343	-6686390.500
344	-6770677.500
345	-6829174.000
346	-6855734.000
347	-6844853.500
348	-6798325.000
349	-6715828.500
350	-6580150.000
351	-6390838.500
352	-6077175.000
353	-5626487.500
354	-5148152.500
355	-4627321.000
356	-4063162.000
357	-3467258.750
358	-2929851.250
359	-2448891.750
360	-2140540.000
361	-2000700.375
362	-2059964.500
363	-2317756.250
364	-2777979.750
365	-3435322.750
366	-4122361.750
367	-4844856.500
368	-5502328.000
369	-6096439.000
370	-6574134.500
371	-6940597.500
372	-7225012.000
373	-7429876.000
374	-7526898.000
375	-7516337.500
376	-7490355.000
377	-7448494.500
378	-7362926.500
379	-7234673.000
380	-7173679.500
381	-7183661.000
382	-7225838.000
383	-7296496.000
384	-7436138.000
385	-7642404.000
386	-7876836.000
387	-8135457.000
388	-8408034.000
389	-8690778.000
390	-8958729.000
391	-9211517.000
392	-9452886.000
393	-9683818.000
394	-9863878.000
395	-9995162.000
396	-10098069.000
397	-10169771.000
398	-10246272.000
399	-10325835.000
400	-10386206.000
401	-10422856.000
402	-10454021.000
403	-10478198.000
404	-10483815.000
405	-10478220.000
406	-10484367.000
407	-10505022.000
408	-10532323.000
409	-10559978.000
410	-10564151.000
411	-10551126.000
412	-10560318.000
413	-10593476.000
414	-10584586.000
415	-10534311.000
416	-10525672.000
417	-10550690.000
418	-10557713.000
419	-10544586.000
420	-10542058.000
421	-10554163.000
422	-10546941.000
423	-10520121.000
424	-10502585.000
425	-10483928.000
426	-10464064.000
427	-10449548.000
428	-10434318.000
429	-10414330.000
430	-10383500.000
431	-10343690.000
432	-10305838.000
433	-10274293.000
434	-10248150.000
435	-10229051.000
436	-10191623.000
437	-10131283.000
438	-10056100.000
439	-9963761.000
440	-9896872.000
441	-9853430.000
442	-9782954.000
443	-9689547.000
444	-9585524.000
445	-9469169.000
446	-9371602.000
447	-9297572.000
448	-9178936.000
449	-9016833.000
450	-8846235.000
451	-8669730.000
452	-8502820.000
453	-8346924.000
454	-8176751.500
455	-7988338.500
456	-7785706.500
457	-7571050.000
458	-7339509.000
459	-7092534.000
460	-6880310.000
461	-6701366.500
462	-6564854.500
463	-6463287.000
464	-6424695.000
465	-6445558.500
466	-6519733.500
467	-6644086.000
468	-6749046.000
469	-6839542.000
470	-6919925.500
471	-6990067.500
472	-7031541.000
473	-7035188.500
474	-7017398.000
475	-6982646.000
476	-6868790.000
477	-6676020.500
478	-6398773.500
479	-6035510.000
480	-5568054.500
481	-4991736.500
482	-4385081.500
483	-3752698.250
484	-3183094.500
485	-2673904.500
486	-2327223.500
487	-2138299.250
488	-2114492.250
489	-2260796.250
490	-2590965.750
491	-3100658.750
492	-3731125.500
493	-4484981.500
494	-5167416.500
495	-5777911.500
496	-6306615.000
497	-6752502.500
498	-7096310.000
499	-7336373.500
500	-7474805.000
501	-7514549.500
502	-7518581.500
503	-7491445.000
504	-7416176.000
505	-7303282.000
506	-7222516.500
507	-7174003.000
508	-7125618.500
509	-7084465.000
510	-7107121.500
511	-7186703.500
512	-7302803.000
513	-7457780.000
514	-7685747.500
515	-7978738.000
516	-8255537.000
517	-8511602.000
518	-8771624.000
519	-9043606.000
520	-9285437.000
521	-9482138.000
522	-9670928.000
523	-9862120.000
524	-10008638.000
525	-10107821.000
526	-10188734.000
527	-10252377.000
528	-10303144.000
529	-10345778.000
530	-10370922.000
531	-10379170.000
532	-10417644.000
533	-10486089.000
534	-10517279.000
535	-10509214.000
536	-10504576.000
537	-10505455.000
538	-10525128.000
539	-10565104.000
540	-10576574.000
541	-10563654.000
542	-10556825.000
543	-10557589.000
544	-10559915.000
545	-10556292.000
546	-10565748.000
547	-10585692.000
548	-10586403.000
549	-10582408.000
550	-10583966.000
551	-10596060.000
552	-10592980.000
553	-10574905.000
554	-10562648.000
555	-10556898.000
556	-10535257.000
557	-10499909.000
558	-10475041.000
559	-10464238.000
560	-10454967.000
561	-10451085.000
562	-10433542.000
563	-10401771.000
564	-10367982.000
565	-10336994.000
566	-10311566.000
567	-10282436.000
568	-10234077.000
569	-10169453.000
570	-10130933.000
571	-10112819.000
572	-10052378.000
573	-9939464.000
574	-9851546.000
575	-9792241.000
576	-9726529.000
577	-9651877.000
578	-9562864.000
579	-9461967.000
580	-9353509.000
581	-9231740.000
582	-9131284.000
583	-9054939.000
584	-8905889.000
585	-8684906.000
586	-8494192.000
587	-8330355.000
588	-8172979.000
589	-8019955.500
590	-7811700.000
591	-7542005.000
592	-7280949.500
593	-7023798.000
594	-6823094.500
595	-6677622.500
596	-6592502.500
597	-6575350.500
598	-6582262.500
599	-6610998.500
600	-6685558.500
601	-6812726.500
602	-6954867.000
603	-7112691.500
604	-7223861.500
605	-7290549.500
606	-7340981.500
607	-7378870.000
608	-7389622.000
609	-7370485.500
610	-7271797.500
611	-7093110.000
612	-6832054.500
613	-6478071.000
614	-6088439.000
615	-5653175.500
616	-5112696.500
617	-4462649.500
618	-3869946.250
619	-3335803.000
620	-2943163.250
621	-2695099.500
622	-2588091.750
623	-2626043.750
624	-2824891.500
625	-3191611.000
626	-3632122.500
627	-4144378.000
628	-4716409.000
629	-5341880.000
630	-5912311.500
631	-6433015.000
632	-6869622.500
633	-7224246.000
634	-7500021.500
635	-7697909.000
636	-7827445.000
637	-7896371.500
638	-7896884.000
639	-7823348.500
640	-7737141.000
641	-7630133.000
642	-7520245.000
643	-7403507.500
644	-7337329.000
645	-7318318.500
646	-7302314.000
647	-7290534.000
648	-7339490.000
649	-7447201.000
650	-7617764.000
651	-7853090.000
652	-8097953.000
653	-8355747.000
654	-8603297.000
655	-8840475.000
656	-9075470.000
657	-9308467.000
658	-9509258.000
659	-9691627.000
660	-9839780.000
661	-9947556.000
662	-10066013.000
663	-10190026.000
664	-10275417.000
665	-10326634.000
666	-10371832.000
667	-10411354.000
668	-10432479.000
669	-10440158.000
670	-10472263.000
671	-10532753.000
672	-10560504.000
673	-10566051.000
674	-10574621.000
675	-10589907.000
676	-10610046.000
677	-10630119.000
678	-10665779.000
679	-10709195.000
680	-10722781.000
681	-10709390.000
682	-10689906.000
683	-10673692.000
684	-10682741.000
685	-10710378.000
686	-10735783.000
687	-10753118.000
688	-10744552.000
689	-10715903.000
690	-10704946.000
691	-10701112.000
692	-10689039.000
693	-10673053.000
694	-10670358.000
695	-10685957.000
696	-10672320.000
697	-10645201.000
698	-10654936.000
699	-10683717.000
700	-10678428.000
701	-10637616.000
702	-10612463.000
703	-10606625.000
704	-10595854.000
705	-10572802.000
706	-10552928.000
707	-10539443.000
708	-10507678.000
709	-10451095.000
710	-10407960.000
711	-10376417.000
712	-10340342.000
713	-10303659.000
714	-10276800.000
715	-10258146.000
716	-10222732.000
717	-10171807.000
718	-10100020.000
719	-10009622.000
720	-9922121.000
721	-9841968.000
722	-9767475.000
723	-9699735.000
724	-9613789.000
725	-9510157.000
726	-9381684.000
727	-9224320.000
728	-9085395.000
729	-8961576.000
730	-8794093.000
731	-8581548.000
732	-8369902.500
733	-8164019.500
734	-7950453.000
735	-7730418.000
736	-7525810.500
737	-7337014.000
738	-7182902.000
739	-7061238.500
740	-7014198.500
741	-7037430.500
742	-7071542.500
743	-7116598.000
744	-7205110.000
745	-7335478.000
746	-7449653.500
747	-7551157.500
748	-7668213.500
749	-7801589.000
750	-7911348.500
751	-7994676.500
752	-8041076.500
753	-8053363.500
754	-7992819.000
755	-7854645.000
756	-7668341.000
757	-7427829.500
758	-7088885.500
759	-6654006.000
760	-6179703.000
761	-5670391.500
762	-5168056.500
763	-4673337.000
764	-4228025.500
765	-3829882.000
766	-3595770.500
767	-3533626.500
768	-3555898.500
769	-3663226.500
