X	Y
0	-7151462.500
1	-7068327.500
2	-7073961.000
3	-7175078.000
4	-7251489.500
5	-7307866.000
6	-7306331.500
7	-7249757.500
8	-7124964.500
9	-6932008.000
10	-6672172.500
11	-6342512.500
12	-5978229.500
13	-5577719.500
14	-5151032.000
15	-4695480.500
16	-4236985.000
17	-3780217.500
18	-3364474.250
19	-2999418.500
20	-2767162.500
21	-2672634.750
22	-2796026.750
23	-3141242.500
24	-3690873.750
25	-4444537.000
26	-5185335.500
27	-5914679.000
28	-6540720.500
29	-7066728.500
30	-7445348.500
31	-7671575.500
32	-7809998.000
33	-7862288.000
34	-7860358.000
35	-7801737.500
36	-7754319.500
37	-7720276.500
38	-7698708.000
39	-7689749.000
40	-7715153.000
41	-7777549.000
42	-7899783.500
43	-8082107.500
44	-8306717.500
45	-8576443.000
46	-8849402.000
47	-9122402.000
48	-9386272.000
49	-9648605.000
50	-9853736.000
51	-10013875.000
52	-10154237.000
53	-10275444.000
54	-10370131.000
55	-10442032.000
56	-10487886.000
57	-10512273.000
58	-10536035.000
59	-10560399.000
60	-10573143.000
61	-10578130.000
62	-10582684.000
63	-10589903.000
64	-10577751.000
65	-10549860.000
66	-10547172.000
67	-10570781.000
68	-10568554.000
69	-10535410.000
70	-10504838.000
71	-10485002.000
72	-10442498.000
73	-10383572.000
74	-10356052.000
75	-10359252.000
76	-10338028.000
77	-10292666.000
78	-10271108.000
79	-10268193.000
80	-10233483.000
81	-10167213.000
82	-10085331.000
83	-9990177.000
84	-9909774.000
85	-9840117.000
86	-9748399.000
87	-9634872.000
88	-9521129.000
89	-9416469.000
90	-9287029.000
91	-9135332.000
92	-8981408.000
93	-8822922.000
94	-8638942.000
95	-8434680.000
96	-8236298.000
97	-8049037.500
98	-7868433.500
99	-7700123.000
100	-7489448.500
101	-7238705.000
102	-7022068.000
103	-6832310.000
104	-6655349.500
105	-6487029.500
106	-6407029.500
107	-6409270.500
108	-6440694.000
109	-6503670.500
110	-6594933.500
111	-6713334.000
112	-6813685.500
113	-6893685.000
114	-6912308.500
115	-6866612.000
116	-6741171.000
117	-6537651.000
118	-6303413.000
119	-6038518.000
120	-5701621.500
121	-5298935.500
122	-4862200.500
123	-4399161.000
124	-3879866.000
125	-3309562.500
126	-2747579.000
127	-2199035.750
128	-1851772.125
129	-1696060.250
130	-1760764.250
131	-2067451.750
132	-2563771.000
133	-3234938.500
134	-4001017.750
135	-4859384.500
136	-5618807.000
137	-6280181.500
