X	Y
0	-7523377.000
1	-6979174.500
2	-6999641.500
3	-7026792.500
4	-7033894.000
5	-6985000.000
6	-6862638.000
7	-6666542.500
8	-6425714.000
9	-6150773.000
10	-5820214.500
11	-5423671.500
12	-4963000.000
13	-4503160.500
14	-4040953.250
15	-3534585.750
16	-2982010.250
17	-2433915.000
18	-1920059.500
19	-1496700.000
20	-1198844.250
21	-998716.562
22	-911804.812
23	-929980.938
24	-1091516.750
25	-1443964.125
26	-1985531.375
27	-2787514.500
28	-3715768.250
29	-4611381.000
30	-5413047.000
31	-6042806.500
32	-6484020.000
33	-6806833.500
34	-7028201.000
35	-7110821.000
36	-7106276.000
37	-7073063.000
38	-7003568.000
39	-6909552.000
40	-6803761.500
41	-6672947.500
42	-6511989.000
43	-6364277.000
44	-6261750.000
45	-6169590.500
46	-6074870.000
47	-5998646.000
48	-5944821.000
49	-5938420.000
50	-6012918.500
51	-6166902.000
52	-6377077.500
53	-6639092.000
54	-6955312.000
55	-7301993.500
56	-7627098.500
57	-7910789.500
58	-8180526.000
59	-8418387.000
60	-8613879.000
61	-8773335.000
62	-8896319.000
63	-8980142.000
64	-9026141.000
65	-9032674.000
66	-9036517.000
67	-9061209.000
68	-9069650.000
69	-9039596.000
70	-9009461.000
71	-8996407.000
72	-8962816.000
73	-8898628.000
74	-8840660.000
75	-8809121.000
76	-8766565.000
77	-8700094.000
78	-8635657.000
79	-8583505.000
80	-8520414.000
81	-8424362.000
82	-8311344.000
83	-8190715.000
84	-8055745.000
85	-7908936.000
86	-7751067.000
87	-7583200.000
88	-7408038.000
89	-7218541.500
90	-7019697.500
91	-6796468.000
92	-6550388.500
93	-6323445.500
94	-6111606.500
95	-5882615.000
96	-5651447.500
97	-5452599.500
98	-5305592.000
99	-5214072.000
100	-5156792.000
101	-5107064.500
102	-5108152.500
103	-5207096.000
104	-5380856.000
105	-5582454.500
106	-5807350.500
107	-6064374.500
108	-6319670.500
109	-6509238.000
110	-6627699.500
111	-6678197.000
112	-6664437.000
113	-6602676.000
114	-6489590.500
115	-6321782.500
116	-6103286.500
